"id","serial_number","message_number","timestamp_seconds_original","timestamp_seconds","direction","lane","vehicle_class","vehicle_volume","vehicle_avg_speed","vehicle_85th_speed","vehicle_occupancy","headway","gap","creation_date","modification_date"
"04d34aa2-0eb6-403c-8936-5415096e38dd","0x0004B0D6",1,NULL,1767398394,NULL,0,2,0,"0","0","0","0","0","2026-01-03 00:00:23.308076","2026-01-03 00:00:23.308076"
"67b61e6d-497d-4c48-b8b3-8049a756dd32","0x0004B0D6",2,NULL,1767398394,NULL,0,3,0,"0","0","0","0","0","2026-01-03 00:00:23.313456","2026-01-03 00:00:23.313456"
"995d60d7-b98f-436a-bebe-a05a7bb06097","0x0004B0D6",4,NULL,1767398394,NULL,1,2,92,"7.329999923706055","6.360000133514404","29.899999618530273","0","0","2026-01-03 00:00:23.318746","2026-01-03 00:00:23.318746"
"f30a522a-f40c-4a8d-be1d-a7e7c4a95f09","0x0004B0D6",5,NULL,1767398394,NULL,1,3,8,"7.960000038146973","7.800000190734863","1.2000000476837158","0","0","2026-01-03 00:00:23.324786","2026-01-03 00:00:23.324786"
"058cda63-d959-47a7-a136-0790912e7395","0x0004B0D6",6,NULL,1767398394,NULL,1,4,1,"0","0","0.10000000149011612","0","0","2026-01-03 00:00:23.328918","2026-01-03 00:00:23.328918"
"027443ec-3fdb-4359-8b6d-4f7df8e80cfc","0x0004B0D6",7,NULL,1767398394,NULL,1,6,0,"0","0","0","0","0","2026-01-03 00:00:23.333229","2026-01-03 00:00:23.333229"
"8d87e99d-c0d5-4bb2-9c82-3b06e1367bf0","0x0004B0D6",9,NULL,1767398394,NULL,2,2,7,"6.230000019073486","5.5","2.0999999046325684","0","0","2026-01-03 00:00:23.338124","2026-01-03 00:00:23.338124"
"645e5f94-b0fa-473d-8aed-12df67d025cc","0x0004B0D6",10,NULL,1767398394,NULL,2,3,57,"8.119999885559082","5.599999904632568","19.700000762939453","0","0","2026-01-03 00:00:23.342947","2026-01-03 00:00:23.342947"
"3f1520e5-7dfa-4742-981c-7a7a00233a44","0x0004B0D6",11,NULL,1767398394,NULL,2,4,9,"6.539999961853027","5.800000190734863","4.150000095367432","0","0","2026-01-03 00:00:23.347836","2026-01-03 00:00:23.347836"
"46a94a32-d135-4f4b-a0b2-05d6ce1946c5","0x0004B0D6",1,NULL,1767400194,NULL,0,2,3,"2.0199999809265137","0.6000000238418579","0.5","0","0","2026-01-03 00:30:36.033664","2026-01-03 00:30:36.033664"
"aa77606c-0b17-4cfc-8962-b93b40c6176f","0x0004B0D6",2,NULL,1767400194,NULL,0,3,0,"0","0","0","0","0","2026-01-03 00:30:36.039996","2026-01-03 00:30:36.039996"
"9651c97a-c206-4d18-8da6-1d158e6e654b","0x0004B0D6",4,NULL,1767400194,NULL,1,2,87,"6.679999828338623","5.099999904632568","32.349998474121094","0","0","2026-01-03 00:30:36.044782","2026-01-03 00:30:36.044782"
"2b6dc739-6a34-49f8-85c5-74e76d894c16","0x0004B0D6",5,NULL,1767400194,NULL,1,3,12,"6.119999885559082","5.699999809265137","1.649999976158142","0","0","2026-01-03 00:30:36.050027","2026-01-03 00:30:36.050027"
"e29145c2-3847-4e37-bb1c-69dc5f5c625f","0x0004B0D6",6,NULL,1767400194,NULL,1,4,4,"4.360000133514404","3.0999999046325684","0.4000000059604645","0","0","2026-01-03 00:30:36.055383","2026-01-03 00:30:36.055383"
"27b23668-a063-4435-b4a7-01310ba8f908","0x0004B0D6",7,NULL,1767400194,NULL,1,6,0,"0","0","0","0","0","2026-01-03 00:30:36.060504","2026-01-03 00:30:36.060504"
"15ddeb62-ffd1-440d-833a-75478555fb12","0x0004B0D6",9,NULL,1767400194,NULL,2,2,8,"5.989999771118164","4.699999809265137","2.8499999046325684","0","0","2026-01-03 00:30:36.065521","2026-01-03 00:30:36.065521"
"01e8d166-973e-425b-b0c2-7a611d39bb6d","0x0004B0D6",10,NULL,1767400194,NULL,2,3,59,"7.460000038146973","6.78000020980835","21.149999618530273","0","0","2026-01-03 00:30:36.070845","2026-01-03 00:30:36.070845"
"cdcee1f2-3296-4281-b700-7a788299457e","0x0004B0D6",11,NULL,1767400194,NULL,2,4,9,"6.53000020980835","3.5999999046325684","6.300000190734863","0","0","2026-01-03 00:30:36.076128","2026-01-03 00:30:36.076128"
"89a3c070-102e-4c58-93b2-161c6e5acc9a","0x0004B0D6",12,NULL,1767400194,NULL,2,6,5,"6.800000190734863","6.800000190734863","2.049999952316284","0","0","2026-01-03 00:30:36.081","2026-01-03 00:30:36.081"
"9e2e7fe4-e40f-473b-8592-cc2ab2cb0e0d","0x0004B0D6",14,NULL,1767400194,NULL,3,4,17,"6.829999923706055","4.199999809265137","21.100000381469727","0","0","2026-01-03 00:30:36.086523","2026-01-03 00:30:36.086523"
"01483c78-a0a1-4654-8488-230c9a037756","0x0004B0D6",15,NULL,1767400194,NULL,3,6,6,"5.059999942779541","0.5","9.100000381469727","0","0","2026-01-03 00:30:36.092404","2026-01-03 00:30:36.092404"
"67ca1bd3-a600-46c8-b12d-3f19d519ffec","0x0004B0D6",16,NULL,1767400194,NULL,3,7,0,"0","0","0","0","0","2026-01-03 00:30:36.097491","2026-01-03 00:30:36.097491"
